Country,"CO2 Emissions  (tons, 2016)",1 Year  Change,Population  (2016),Per  capita,Share  of world
China,10432751400,-0.0028,1414049351,7.38,0.2918
United States,5011686600,-0.0201,323015995,15.52,0.1402
India,2533638100,0.0471,1324517249,1.91,0.0709
Russia,1661899300,-0.0213,145275383,11.44,0.0465
Japan,1239592060,-0.0121,127763265,9.7,0.0347
Germany,775752190,0.0128,82193768,9.44,0.0217
Canada,675918610,-0.01,36382944,18.58,0.0189
Iran,642560030,0.0222,79563989,8.08,0.018
South Korea,604043830,0.0045,50983457,11.85,0.0169
Indonesia,530035650,0.0641,261556381,2.03,0.0148
Saudi Arabia,517079407,0.0092,32443447,15.94,0.0145
Brazil,462994920,-0.0608,206163053,2.25,0.0129
Mexico,441412750,-0.0213,123333376,3.58,0.0123
Australia,414988700,-0.0098,24262712,17.1,0.0116
South Africa,390557850,-0.0049,56207646,6.95,0.0109
Turkey,368122740,0.0525,79827871,4.61,0.0103
United Kingdom,367860350,-0.0638,66297944,5.55,0.0103
Italy,358139550,0.0084,60663060,5.9,0.01
France,331533320,0.0211,64667596,5.13,0.0093
Poland,296659670,0.0267,37989220,7.81,0.0083
Taiwan,276724868,0.0191,23618200,11.72,0.0077
Thailand,271040160,0.0155,68971308,3.93,0.0076
Malaysia,266251542,0.0654,30684654,8.68,0.0074
Spain,251892320,-0.0312,46634140,5.4,0.007
Ukraine,233220080,0.0803,44713702,5.22,0.0065
Kazakhstan,231919540,0.0164,17830901,13.01,0.0065
Egypt,219377350,0.0472,94447073,2.32,0.0061
United Arab Emirates,218788684,0.0443,9360980,23.37,0.0061
Vietnam,206042140,0.0009,93640422,2.2,0.0058
Argentina,200708270,0.0016,43508460,4.61,0.0056
Pakistan,178013820,0.0913,203631353,0.87,0.005
Venezuela,175884256,-0.019,29851255,5.89,0.0049
Netherlands,163419285,0.0163,16981295,9.62,0.0046
Iraq,162646160,0.0122,36610632,4.44,0.0045
Algeria,156220560,0.0017,40551392,3.85,0.0044
Philippines,126922662,0.1237,103663816,1.22,0.0035
Czech Republic (Czechia),111825428,0.0139,10618857,10.53,0.0031
Uzbekistan,109347340,0.016,31441751,3.48,0.0031
Kuwait,101492225,0.0136,3956875,25.65,0.0028
Qatar,98990085,0.0179,2654374,37.29,0.0028
Belgium,94722813,0.0153,11354420,8.34,0.0026
Oman,87835773,0.0209,4479219,19.61,0.0025
Nigeria,82634214,0.007,185960241,0.44,0.0023
Chile,81258525,0.0533,18209068,4.46,0.0023
Turkmenistan,79279216,0.0063,5662368,14.0,0.0022
Romania,78770824,0.0169,19796285,3.98,0.0022
Colombia,77667594,-0.0084,48175052,1.61,0.0022
Bangladesh,74476230,0.045,157977153,0.47,0.0021
Austria,73764112,0.0154,8747301,8.43,0.0021
Greece,67840662,-0.0347,10615185,6.39,0.0019
Israel,65201588,-0.0038,8108985,8.04,0.0018
Belarus,62655669,0.049,9445643,6.63,0.0018
North Korea,58708734,0.1949,25307665,2.32,0.0016
Morocco,57694464,0.0054,35126283,1.64,0.0016
Peru,57692879,0.0816,30926032,1.87,0.0016
Libya,52696075,0.0152,6492162,8.12,0.0015
Finland,51183960,0.0362,5497713,9.31,0.0014
Hungary,51018899,0.0216,9752975,5.23,0.0014
Bulgaria,50872910,-0.06,7151953,7.11,0.0014
Portugal,50142844,-0.0236,10325538,4.86,0.0014
Singapore,48381759,0.0256,5653634,8.56,0.0014
Hong Kong,47066386,0.0123,7243542,6.5,0.0013
Sweden,44694415,0.0433,9836007,4.54,0.0013
Norway,43456012,0.0085,5250949,8.28,0.0012
Serbia,41168059,0.0227,8853963,4.65,0.0012
Ecuador,40065690,-0.0485,16491116,2.43,0.0011
Switzerland,39666930,-0.023,8379917,4.73,0.0011
Ireland,39086565,0.0509,4695779,8.32,0.0011
Syria,38054696,0.0178,17465575,2.18,0.0011
Denmark,38007645,0.0523,5711349,6.65,0.0011
Slovakia,36817242,0.0174,5442003,6.77,0.001
Trinidad and Tobago,34974263,-0.0592,1377560,25.39,0.001
Azerbaijan,33614235,-0.0041,9736043,3.45,0.0009
New Zealand,33276202,-0.0014,4659265,7.14,0.0009
Angola,30566933,0.0313,28842489,1.06,0.0009
Cuba,30389116,0.0165,11335104,2.68,0.0008
Tunisia,29395965,0.0082,11303945,2.6,0.0008
Bosnia and Herzegovina,25674120,0.0086,3386266,7.58,0.0007
Yemen,25647990,0.0162,27168208,0.94,0.0007
Bahrain,24458384,0.025,1425792,17.15,0.0007
Dominican Republic,23466740,0.0288,10397741,2.26,0.0007
Jordan,22772370,0.0183,9554286,2.38,0.0006
Estonia,22402414,0.0101,1316510,17.02,0.0006
Lebanon,21863288,0.0195,6714281,3.26,0.0006
Bolivia,19463728,0.0203,11031814,1.76,0.0005
Croatia,19408194,0.0302,4208602,4.61,0.0005
Mongolia,18574260,0.1809,3056364,6.08,0.0005
Guatemala,18539316,0.0242,16583076,1.12,0.0005
Sri Lanka,18454691,0.0855,21021171,0.88,0.0005
Myanmar,16701776,0.0561,53045201,0.31,0.0005
Kenya,16334919,0.036,49051534,0.33,0.0005
Montenegro,16249039,0.0227,627264,25.9,0.0005
Slovenia,14722601,0.0235,2074210,7.1,0.0004
Ghana,14469986,0.0354,28481945,0.51,0.0004
Lithuania,13685264,0.0266,2889557,4.74,0.0004
Sudan,13294106,0.0418,39847439,0.33,0.0004
Panama,11599764,0.0237,4037078,2.87,0.0003
Ethiopia,10438855,0.0403,103603462,0.1,0.0003
Luxembourg,10144632,0.0345,579264,17.51,0.0003
Zimbabwe,10062628,-0.0417,14030331,0.72,0.0003
Côte d'Ivoire,10056492,0.0116,23822714,0.42,0.0003
Afghanistan,9900004,0.0713,35383032,0.28,0.0003
Tanzania,9731560,0.025,53049230,0.18,0.0003
Cameroon,9454331,0.0221,23926551,0.4,0.0003
Honduras,9320279,0.0225,9270795,1.01,0.0003
Papua New Guinea,9086988,0.0709,8271762,1.1,0.0003
Jamaica,8946575,0.0182,2906236,3.08,0.0003
North Macedonia,8896732,0.0162,2080743,4.28,0.0002
Georgia,8610414,0.0294,4015450,2.14,0.0002
Costa Rica,8328890,0.0216,4899345,1.7,0.0002
Moldova,8258774,0.0299,4066009,2.03,0.0002
Senegal,8247295,0.0369,14993519,0.55,0.0002
Latvia,8157157,0.0341,1974266,4.13,0.0002
Nepal,7833787,0.101,27263433,0.29,0.0002
Brunei,7672127,0.0354,419800,18.28,0.0002
Kyrgyzstan,6941784,0.0253,6074330,1.14,0.0002
Cyprus,6872427,0.0373,1170187,5.87,0.0002
El Salvador,6853766,0.0045,6356143,1.08,0.0002
DR Congo,6564773,0.0377,78789127,0.08,0.0002
Benin,6563709,0.0413,10872063,0.6,0.0002
Uruguay,6508013,0.0191,3424129,1.9,0.0002
Cambodia,6496958,0.0768,15766292,0.41,0.0002
Botswana,6438429,-0.0374,2159927,2.98,0.0002
Tajikistan,6049757,0.0337,8663579,0.7,0.0002
Paraguay,5998469,0.0197,6777872,0.89,0.0002
Mozambique,5859171,0.0222,27829938,0.21,0.0002
Gabon,5694208,0.0112,2007873,2.84,0.0002
Nicaragua,5325447,0.0186,6303974,0.84,0.0001
Congo,5212302,0.0163,4980996,1.05,0.0001
Albania,5208319,0.0445,2886438,1.8,0.0001
Uganda,5009493,0.0382,39649166,0.13,0.0001
Armenia,4597845,0.0306,2936143,1.57,0.0001
Laos,4531276,0.0792,6845846,0.66,0.0001
Bahamas,4404247,0.0151,377930,11.65,0.0001
Zambia,4230584,0.0367,16363458,0.26,0.0001
South Sudan,4038496,0.0418,10832518,0.37,0.0001
Iceland,3923884,0.0162,332206,11.81,0.0001
Namibia,3901830,0.0442,2358044,1.65,0.0001
Guyana,3253057,0.0161,771368,4.22,0.0001
Mauritius,3192307,0.0,1261865,2.53,0.0001
Macao,3106518,0.0719,612836,5.07,0.0001
Haiti,3086897,0.0171,10839970,0.28,0.0001
Madagascar,3026047,0.0285,24894370,0.12,0.0001
Martinique,2715477,0.0172,376791,7.21,0.0001
Mauritania,2564345,0.0332,4163533,0.62,0.0001
Guadeloupe,2478038,0.0184,399763,6.2,0.0001
Burkina Faso,2352070,0.0314,18646357,0.13,0.0001
New Caledonia,2338717,0.0722,274191,8.53,0.0001
Togo,2321546,0.0547,7509951,0.31,0.0001
Malta,2257870,0.0348,436097,5.18,0.0001
Equatorial Guinea,2156371,0.0,1215180,1.77,0.0001
Suriname,2152933,0.0032,564888,3.81,0.0001
Niger,2088475,0.0015,20788798,0.1,0.0001
Guinea,2071798,0.032,11738429,0.18,0.0001
Malawi,1815598,0.0326,17205261,0.11,0.0001
Fiji,1703193,0.0728,872399,1.95,0.0
Bhutan,1682100,0.0614,736708,2.28,0.0
Chad,1670941,0.0214,14561660,0.11,0.0
Mali,1606421,0.0257,17965443,0.09,0.0
Barbados,1541447,0.0188,285796,5.39,0.0
Djibouti,1508851,0.0297,929112,1.62,0.0
French Guiana,1473719,0.0173,267821,5.5,0.0
Rwanda,1403087,0.0288,11668827,0.12,0.0
Sierra Leone,1272332,0.0343,7328834,0.17,0.0
Somalia,1268442,0.0257,14185636,0.09,0.0
Maldives,1233015,0.0719,475512,2.59,0.0
Réunion,1132331,0.0355,869743,1.3,0.0
Belize,1114105,0.0151,368400,3.02,0.0
Burundi,1093618,0.0281,10487995,0.1,0.0
French Polynesia,1003249,0.0718,274575,3.65,0.0
Liberia,846658,0.0349,4586787,0.18,0.0
Puerto Rico,712758,0.0171,3283125,0.22,0.0
Eritrea,684140,0.0479,3376557,0.2,0.0
Eswatini,657572,0.0261,1113997,0.59,0.0
Bermuda,639352,0.0151,63362,10.09,0.0
Saint Lucia,608182,0.0151,180024,3.38,0.0
Gibraltar,572708,0.0353,33737,16.98,0.0
Grenada,554848,0.0151,110261,5.03,0.0
Central African Republic,543229,0.0257,4537686,0.12,0.0
Seychelles,519693,0.0262,95710,5.43,0.0
Timor-Leste,495687,0.0463,1219288,0.41,0.0
Antigua and Barbuda,438763,0.0151,94527,4.64,0.0
Cayman Islands,406057,0.0152,62569,6.49,0.0
St. Vincent & Grenadines,362414,0.0151,109459,3.31,0.0
Solomon Islands,341748,0.0718,619438,0.55,0.0
Guinea-Bissau,318706,0.0259,1782438,0.18,0.0
Lesotho,318438,0.0258,2075030,0.15,0.0
Aruba,286871,0.0151,104872,2.74,0.0
Gambia,254127,0.0259,2149136,0.12,0.0
Tonga,251375,0.0719,101133,2.49,0.0
Western Sahara,207592,0.0261,538749,0.39,0.0
Saint Kitts & Nevis,203036,0.0151,51625,3.93,0.0
Dominica,185767,0.0151,71307,2.61,0.0
Samoa,169939,0.0718,194535,0.87,0.0
Vanuatu,137706,0.0718,278330,0.49,0.0
Comoros,108422,0.0258,795592,0.14,0.0
British Virgin Islands,99762,0.0151,29355,3.4,0.0
